Food_ID,Food_Name,Alias,Category,Meal_Type,Serving_Size,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Veg_NonVeg,Health_Rating,WeightLoss,MuscleGain,WeightGain,HealthyLifestyle
19,Uttapam,Uttapam,Breakfast,Breakfast,1 Piece (220g),260,8.0,38.0,8.0,3.0,2.0,480,Veg,B,Moderate,No,Moderate,Yes
20,Onion Uttapam,Onion Uttapam,Breakfast,Breakfast,1 Piece (220g),270,8.0,39.0,8.0,3.0,2.0,490,Veg,B,Moderate,No,Moderate,Yes
21,Vegetable Uttapam,Vegetable Uttapam,Breakfast,Breakfast,1 Piece (230g),250,8.5,37.0,7.0,4.0,2.0,460,Veg,A,Yes,No,Moderate,Yes
22,Appam,Appam,Breakfast,Breakfast,2 Pieces (160g),220,4.0,42.0,4.0,2.0,2.0,260,Veg,B,Moderate,No,Moderate,Yes
23,Puttu,Puttu,Breakfast,Breakfast,1 Roll (180g),280,6.0,56.0,3.0,4.0,2.0,220,Veg,B,Moderate,No,Yes,Yes
24,Sabudana Khichdi,"Sago Khichdi, Tapioca Pearl Pilaf",Breakfast,Breakfast,1 Plate (220g),340,5.0,60.0,9.0,3.0,5.0,420,Veg,C,Moderate,Moderate,Yes,Moderate
25,Misal Pav,"Usal Pav, Maharashtrian Misal",Breakfast,Breakfast,1 Plate (300g),450,15.0,58.0,16.0,8.0,5.0,880,Veg,C,Moderate,Yes,Yes,Moderate
26,Usal Pav,Usal Pav,Breakfast,Breakfast,1 Plate (280g),390,14.0,52.0,12.0,8.0,4.0,720,Veg,B,Moderate,Yes,Yes,Moderate
27,Thalipeeth,Thalipeeth,Breakfast,Breakfast,2 Pieces (180g),290,8.0,40.0,10.0,5.0,2.0,450,Veg,A,Yes,No,Moderate,Yes
28,Thepla,Thepla,Breakfast,Breakfast,2 Pieces (120g),220,6.0,32.0,8.0,4.0,2.0,360,Veg,A,Yes,No,Moderate,Yes
29,Aloo Paratha,Potato Paratha,Breakfast,Breakfast,2 Pieces (220g),420,10.0,58.0,16.0,6.0,3.0,650,Veg,C,Moderate,Moderate,Yes,Moderate
30,Paneer Paratha,Cottage Cheese Paratha,Breakfast,Breakfast,2 Pieces (220g),460,18.0,42.0,22.0,3.0,3.0,700,Veg,B,Moderate,Yes,Yes,Moderate
31,Gobi Paratha,Gobi Paratha,Breakfast,Breakfast,2 Pieces (220g),380,9.0,54.0,14.0,6.0,3.0,610,Veg,B,Moderate,Moderate,Yes,Moderate
32,Methi Paratha,Methi Paratha,Breakfast,Breakfast,2 Pieces (200g),340,9.0,48.0,12.0,6.0,2.0,550,Veg,A,Yes,Moderate,Moderate,Yes
33,Plain Paratha,Sada Paratha,Breakfast,Breakfast,2 Pieces (180g),360,8.0,48.0,14.0,3.0,2.0,520,Veg,C,Moderate,Moderate,Yes,Moderate
34,Bread Butter,Bread Butter,Breakfast,Breakfast,2 Slices,220,5.0,24.0,11.0,1.0,2.0,330,Veg,C,Moderate,No,Moderate,Moderate
35,Bread Jam,Bread Jam,Breakfast,Breakfast,2 Slices,240,4.0,42.0,4.0,1.0,18.0,290,Veg,D,No,No,Moderate,No
36,Peanut Butter Toast,Peanut Butter Toast,Breakfast,Breakfast,2 Slices,320,11.0,30.0,16.0,4.0,5.0,300,Veg,B,Moderate,Yes,Yes,Moderate
37,French Toast,French Toast,Breakfast,Breakfast,2 Slices,300,10.0,32.0,14.0,2.0,5.0,340,Veg,C,Moderate,Moderate,Yes,Moderate
38,Boiled Egg,Hard Boiled Egg,Breakfast,Breakfast,2 Eggs,156,13.0,1.0,11.0,0.0,1.0,125,Non-Veg,A,Yes,Yes,Yes,Yes
39,Egg Omelette,Egg Omelette,Breakfast,Breakfast,2 Eggs,190,14.0,2.0,14.0,0.0,1.0,180,Non-Veg,A,Yes,Yes,Yes,Yes
40,Egg Bhurji,"Scrambled Eggs, Egg Khima",Breakfast,Breakfast,2 Eggs,210,15.0,4.0,15.0,1.0,2.0,240,Non-Veg,A,Yes,Yes,Yes,Yes
41,Cornflakes with Milk,Cornflakes with Milk,Breakfast,Breakfast,1 Bowl (250g),220,8.0,38.0,4.0,2.0,10.0,180,Veg,B,Yes,No,Moderate,Yes
42,Chocolate Cornflakes,Chocolate Cornflakes,Breakfast,Breakfast,1 Bowl (250g),260,7.0,46.0,5.0,2.0,16.0,220,Veg,C,Moderate,No,Yes,Moderate
43,Muesli with Milk,Muesli with Milk,Breakfast,Breakfast,1 Bowl (250g),280,10.0,42.0,8.0,5.0,9.0,180,Veg,A,Yes,Yes,Moderate,Yes
44,Oats Porridge,Oats Porridge,Breakfast,Breakfast,1 Bowl (250g),190,8.0,32.0,4.0,5.0,5.0,120,Veg,A,Yes,No,Moderate,Yes
45,Masala Oats,Savory Oats,Breakfast,Breakfast,1 Bowl (250g),210,8.0,34.0,5.0,6.0,4.0,320,Veg,A,Yes,No,Moderate,Yes
46,Vegetable Oats,Vegetable Oats,Breakfast,Breakfast,1 Bowl (250g),220,9.0,35.0,5.0,7.0,4.0,280,Veg,A,Yes,No,Moderate,Yes
47,Banana Oatmeal,Banana Oatmeal,Breakfast,Breakfast,1 Bowl (250g),260,9.0,48.0,4.0,6.0,14.0,110,Veg,A,Yes,No,Moderate,Yes
48,Plain Milk,Plain Milk,Breakfast,Breakfast,1 Glass (250ml),150,8.0,12.0,8.0,0.0,12.0,120,Veg,A,Yes,Yes,Moderate,Yes
49,Low Fat Milk,Low Fat Milk,Breakfast,Breakfast,1 Glass (250ml),105,8.0,12.0,2.0,0.0,12.0,110,Veg,A,Yes,Yes,Moderate,Yes
50,Chocolate Milk,Chocolate Milk,Breakfast,Breakfast,1 Glass (250ml),210,8.0,28.0,8.0,1.0,24.0,170,Veg,C,Moderate,No,Yes,Moderate
51,Banana Shake,Banana Shake,Breakfast,Breakfast,1 Glass (300ml),290,8.0,46.0,8.0,3.0,28.0,160,Veg,B,Moderate,No,Yes,Moderate
52,Mango Shake,Mango Shake,Breakfast,Breakfast,1 Glass (300ml),320,8.0,52.0,8.0,2.0,36.0,170,Veg,C,Moderate,Moderate,Yes,Moderate
53,Apple Milkshake,Apple Milkshake,Breakfast,Breakfast,1 Glass (300ml),270,8.0,42.0,7.0,3.0,24.0,160,Veg,B,Moderate,No,Moderate,Moderate
54,Fruit Salad,Fruit Salad,Breakfast,Breakfast,1 Bowl (250g),180,3.0,42.0,1.0,6.0,28.0,30,Veg,A,Yes,No,Moderate,Yes
55,Mixed Fruit Bowl,Mixed Fruit Bowl,Breakfast,Breakfast,1 Bowl (250g),170,3.0,40.0,1.0,6.0,26.0,25,Veg,A,Yes,No,Moderate,Yes
56,Sprouts Salad,Sprouts Salad,Breakfast,Breakfast,1 Bowl (200g),160,11.0,24.0,2.0,8.0,5.0,180,Veg,A,Yes,Yes,Moderate,Yes
57,Moong Sprouts Chaat,Moong Sprouts Chaat,Breakfast,Breakfast,1 Bowl (220g),180,12.0,26.0,3.0,8.0,5.0,220,Veg,A,Yes,Yes,Moderate,Yes
58,Veg Sandwich,Veg Sandwich,Breakfast,Breakfast,2 Pieces,260,8.0,36.0,8.0,4.0,5.0,420,Veg,B,Moderate,No,Moderate,Yes
59,Grilled Veg Sandwich,Grilled Veg Sandwich,Breakfast,Breakfast,2 Pieces,300,10.0,38.0,10.0,5.0,5.0,450,Veg,B,Moderate,Moderate,Moderate,Yes
60,Cheese Sandwich,Cheese Sandwich,Breakfast,Breakfast,2 Pieces,360,15.0,32.0,18.0,2.0,4.0,620,Veg,C,Moderate,Yes,Yes,Moderate
61,Paneer Sandwich,Paneer Sandwich,Breakfast,Breakfast,2 Pieces,340,18.0,30.0,16.0,3.0,4.0,520,Veg,A,Moderate,Yes,Yes,Yes
62,Egg Sandwich,Egg Sandwich,Breakfast,Breakfast,2 Pieces,320,17.0,28.0,15.0,2.0,3.0,470,Non-Veg,A,Yes,Yes,Yes,Yes
63,Chicken Sandwich,Chicken Sandwich,Breakfast,Breakfast,2 Pieces,360,24.0,28.0,14.0,2.0,3.0,520,Non-Veg,A,Yes,Yes,Yes,Yes
64,Paneer Roll,Paneer Roll,Breakfast,Breakfast,1 Roll (220g),420,19.0,42.0,18.0,4.0,4.0,650,Veg,B,Moderate,Yes,Yes,Moderate
65,Egg Roll,Egg Roll,Breakfast,Breakfast,1 Roll (220g),400,18.0,38.0,17.0,3.0,3.0,620,Non-Veg,B,Moderate,Yes,Yes,Moderate
66,Chicken Roll,Chicken Roll,Breakfast,Breakfast,1 Roll (230g),430,24.0,36.0,18.0,3.0,3.0,650,Non-Veg,B,Moderate,Yes,Yes,Moderate
67,Besan Chilla,Besan Chilla,Breakfast,Breakfast,2 Pieces (180g),250,12.0,28.0,8.0,5.0,3.0,320,Veg,A,Yes,Yes,Moderate,Yes
68,Paneer Chilla,Paneer Chilla,Breakfast,Breakfast,2 Pieces (200g),320,20.0,24.0,15.0,4.0,3.0,420,Veg,A,Yes,Yes,Yes,Yes
69,Moong Dal Chilla,Moong Dal Chilla,Breakfast,Breakfast,2 Pieces (180g),240,14.0,24.0,7.0,5.0,2.0,300,Veg,A,Yes,Yes,Moderate,Yes
70,Vegetable Chilla,Vegetable Chilla,Breakfast,Breakfast,2 Pieces (180g),230,10.0,26.0,7.0,6.0,3.0,290,Veg,A,Yes,Moderate,Moderate,Yes
71,Plain Pancake,Plain Pancake,Breakfast,Breakfast,2 Pieces,310,8.0,46.0,10.0,2.0,10.0,320,Veg,C,Moderate,Moderate,Yes,Moderate
72,Banana Pancake,Banana Pancake,Breakfast,Breakfast,2 Pieces,340,9.0,52.0,11.0,3.0,14.0,320,Veg,B,Moderate,Moderate,Yes,Moderate
73,Vegetable Paratha,Vegetable Paratha,Breakfast,Breakfast,2 Pieces,390,10.0,52.0,15.0,6.0,3.0,600,Veg,B,Moderate,Moderate,Yes,Moderate
74,Stuffed Paneer Kulcha,Stuffed Paneer Kulcha,Breakfast,Breakfast,2 Pieces,460,18.0,54.0,18.0,3.0,3.0,720,Veg,C,Moderate,Yes,Yes,Moderate
75,Khaman Dhokla,Khaman Dhokla,Breakfast,Breakfast,6 Pieces (180g),210,10.0,32.0,4.0,5.0,6.0,340,Veg,A,Yes,Moderate,Moderate,Yes
76,Khandvi,Khandvi,Breakfast,Breakfast,10 Pieces (180g),190,8.0,24.0,6.0,4.0,4.0,310,Veg,A,Yes,No,Moderate,Yes
77,Fafda,Fafda,Breakfast,Breakfast,150g,420,10.0,38.0,26.0,4.0,2.0,760,Veg,D,No,Moderate,Yes,Moderate
78,Jalebi,Jalebi,Breakfast,Breakfast,100g,380,3.0,74.0,10.0,1.0,58.0,180,Veg,E,No,No,Yes,No
79,Fafda Jalebi,Fafda Jalebi,Breakfast,Breakfast,1 Serving (250g),620,12.0,82.0,28.0,5.0,60.0,920,Veg,E,No,No,Yes,No
80,Litti Chokha,Litti Chokha,Breakfast,Breakfast,2 Pieces,420,13.0,60.0,14.0,9.0,5.0,620,Veg,B,Moderate,Moderate,Yes,Moderate
81,Onion Poha,Onion Poha,Breakfast,Breakfast,1 Plate (200g),265,6.5,46.0,6.0,3.5,3.0,430,Veg,B,Yes,No,Moderate,Yes
82,Vegetable Poha,Vegetable Poha,Breakfast,Breakfast,1 Plate (220g),275,7.0,48.0,6.0,4.0,3.0,420,Veg,A,Yes,No,Moderate,Yes
83,Peanut Poha,Peanut Poha,Breakfast,Breakfast,1 Plate (220g),315,9.0,42.0,12.0,5.0,3.0,450,Veg,B,Moderate,Yes,Yes,Moderate
84,Corn Poha,Corn Poha,Breakfast,Breakfast,1 Plate (220g),295,8.0,49.0,7.0,4.0,4.0,430,Veg,B,Moderate,No,Moderate,Yes
85,Soya Poha,Soya Poha,Breakfast,Breakfast,1 Plate (220g),305,15.0,40.0,8.0,5.0,3.0,460,Veg,A,Yes,Yes,Moderate,Yes
86,Vegetable Daliya,Vegetable Daliya,Breakfast,Breakfast,1 Bowl (250g),215,8.0,39.0,3.0,6.0,4.0,220,Veg,A,Yes,No,Moderate,Yes
87,Sweet Daliya,Sweet Daliya,Breakfast,Breakfast,1 Bowl (250g),280,6.0,50.0,5.0,5.0,18.0,180,Veg,C,Moderate,No,Yes,Moderate
88,Broken Wheat Upma,Broken Wheat Upma,Breakfast,Breakfast,1 Bowl (250g),225,7.0,41.0,4.0,6.0,3.0,260,Veg,A,Yes,No,Moderate,Yes
89,Akki Roti,Akki Roti,Breakfast,Breakfast,2 Pieces,310,7.0,52.0,8.0,4.0,2.0,420,Veg,B,Moderate,Moderate,Moderate,Yes
90,Ragi Roti,Ragi Roti,Breakfast,Breakfast,2 Pieces,270,8.0,48.0,5.0,6.0,2.0,330,Veg,A,Yes,No,Moderate,Yes
91,Ragi Dosa,Ragi Dosa,Breakfast,Breakfast,2 Pieces,240,7.0,39.0,6.0,4.0,2.0,350,Veg,A,Yes,No,Moderate,Yes
92,Ragi Idli,Ragi Idli,Breakfast,Breakfast,2 Pieces,170,6.0,31.0,2.0,3.0,1.0,270,Veg,A,Yes,No,Moderate,Yes
93,Pesarattu,Pesarattu,Breakfast,Breakfast,2 Pieces,250,13.0,28.0,8.0,5.0,2.0,330,Veg,A,Yes,Yes,Moderate,Yes
94,Pesarattu Upma,Pesarattu Upma,Breakfast,Breakfast,1 Plate,360,15.0,46.0,11.0,6.0,3.0,470,Veg,A,Moderate,Yes,Yes,Yes
95,Neer Dosa,Neer Dosa,Breakfast,Breakfast,2 Pieces,180,4.0,34.0,3.0,1.0,1.0,240,Veg,A,Yes,No,Moderate,Yes
96,Set Dosa,Set Dosa,Breakfast,Breakfast,3 Pieces,300,8.0,52.0,6.0,3.0,2.0,390,Veg,B,Moderate,Moderate,Moderate,Yes
97,Benne Dosa,Benne Dosa,Breakfast,Breakfast,1 Piece,420,8.0,44.0,22.0,2.0,2.0,620,Veg,D,No,Moderate,Yes,Moderate
98,Khara Bath,Khara Bath,Breakfast,Breakfast,1 Bowl,250,6.0,39.0,8.0,3.0,2.0,390,Veg,B,Moderate,No,Moderate,Yes
99,Kesari Bath,Kesari Bath,Breakfast,Breakfast,1 Bowl,330,5.0,56.0,10.0,2.0,24.0,250,Veg,D,No,No,Yes,No
100,Aval Upma,Aval Upma,Breakfast,Breakfast,1 Plate,255,6.0,46.0,6.0,3.0,3.0,390,Veg,B,Yes,No,Moderate,Yes
101,Appe,Appe,Breakfast,Breakfast,8 Pieces,230,6.0,34.0,7.0,2.0,2.0,350,Veg,A,Yes,No,Moderate,Yes
102,Vegetable Appe,Vegetable Appe,Breakfast,Breakfast,8 Pieces,245,7.0,35.0,7.0,4.0,2.0,340,Veg,A,Yes,No,Moderate,Yes
103,Moong Dal Pakoda,Moong Dal Pakoda,Breakfast,Breakfast,8 Pieces,340,13.0,28.0,18.0,4.0,2.0,520,Veg,C,Moderate,Yes,Yes,Moderate
104,Bread Omelette,Bread Omelette,Breakfast,Breakfast,2 Slices,310,16.0,26.0,14.0,2.0,3.0,420,Non-Veg,A,Yes,Yes,Yes,Yes
105,Cheese Omelette,Cheese Omelette,Breakfast,Breakfast,2 Eggs,260,18.0,2.0,20.0,0.0,1.0,310,Non-Veg,B,Moderate,Yes,Yes,Moderate
106,Masala Omelette,Masala Omelette,Breakfast,Breakfast,2 Eggs,215,15.0,4.0,15.0,1.0,2.0,220,Non-Veg,A,Yes,Yes,Yes,Yes
107,Egg Akuri,Egg Akuri,Breakfast,Breakfast,2 Eggs,225,15.0,4.0,16.0,1.0,2.0,240,Non-Veg,A,Yes,Yes,Yes,Yes
108,Bun Maska,Bun Maska,Breakfast,Breakfast,1 Bun,280,6.0,34.0,12.0,1.0,5.0,330,Veg,C,Moderate,No,Moderate,Moderate
109,Maska Bun,Maska Bun,Breakfast,Breakfast,1 Bun,280,6.0,34.0,12.0,1.0,5.0,330,Veg,C,Moderate,No,Moderate,Moderate
110,Jam Bun,Jam Bun,Breakfast,Breakfast,1 Bun,260,5.0,46.0,6.0,1.0,18.0,280,Veg,D,No,No,Moderate,No
111,Vegetable Burger,Vegetable Burger,Breakfast,Breakfast,1 Burger,390,11.0,44.0,18.0,4.0,6.0,640,Veg,C,Moderate,Moderate,Yes,Moderate
112,Chicken Burger,Chicken Burger,Breakfast,Breakfast,1 Burger,450,24.0,40.0,20.0,3.0,5.0,720,Non-Veg,B,Moderate,Yes,Yes,Moderate
113,Vegetable Wrap,Vegetable Wrap,Breakfast,Breakfast,1 Wrap,320,9.0,42.0,12.0,5.0,4.0,520,Veg,B,Moderate,Moderate,Moderate,Yes
114,Chicken Wrap,Chicken Wrap,Breakfast,Breakfast,1 Wrap,390,24.0,34.0,17.0,3.0,3.0,590,Non-Veg,A,Moderate,Yes,Yes,Yes
115,Paneer Wrap,Paneer Wrap,Breakfast,Breakfast,1 Wrap,410,19.0,36.0,19.0,3.0,3.0,610,Veg,B,Moderate,Yes,Yes,Moderate
116,Soya Cutlet,Soya Cutlet,Breakfast,Breakfast,2 Pieces,240,15.0,22.0,8.0,5.0,2.0,360,Veg,A,Yes,Yes,Moderate,Yes
117,Vegetable Cutlet,Vegetable Cutlet,Breakfast,Breakfast,2 Pieces,260,6.0,28.0,12.0,4.0,3.0,420,Veg,B,Moderate,No,Moderate,Yes
118,Hash Brown,Hash Brown,Breakfast,Breakfast,2 Pieces,310,4.0,34.0,18.0,3.0,1.0,460,Veg,D,No,No,Yes,No
119,Boiled Sweet Potato,Boiled Sweet Potato,Breakfast,Breakfast,200g,180,3.0,41.0,0.0,6.0,8.0,90,Veg,A,Yes,No,Moderate,Yes
120,Peanut Chikki,Peanut Chikki,Breakfast,Breakfast,50g,250,8.0,22.0,15.0,3.0,14.0,90,Veg,B,Moderate,Yes,Yes,Moderate
121,White Bread,White Bread,Breakfast,Breakfast,2 Slices (60g),160,5.0,30.0,2.0,1.5,3.0,280,Veg,C,Moderate,No,Moderate,Moderate
122,Brown Bread,Brown Bread,Breakfast,Breakfast,2 Slices (60g),150,6.0,28.0,2.0,4.0,3.0,260,Veg,A,Yes,No,Moderate,Yes
123,Whole Wheat Bread,Whole Wheat Bread,Breakfast,Breakfast,2 Slices (60g),145,6.0,27.0,2.0,4.0,2.0,240,Veg,A,Yes,No,Moderate,Yes
124,Multigrain Bread,Multigrain Bread,Breakfast,Breakfast,2 Slices (60g),155,7.0,27.0,3.0,5.0,2.0,250,Veg,A,Yes,No,Moderate,Yes
125,Butter,Butter,Breakfast,Breakfast,1 tbsp (14g),102,0.1,0.0,11.5,0.0,0.0,82,Veg,D,No,No,Yes,No
126,Salted Butter,Salted Butter,Breakfast,Breakfast,1 tbsp (14g),102,0.1,0.0,11.5,0.0,0.0,90,Veg,D,No,No,Yes,No
127,Unsalted Butter,Unsalted Butter,Breakfast,Breakfast,1 tbsp (14g),100,0.1,0.0,11.2,0.0,0.0,2,Veg,C,Moderate,No,Yes,Moderate
128,Ghee,Ghee,Breakfast,Breakfast,1 tbsp (13g),117,0.0,0.0,13.0,0.0,0.0,0,Veg,D,No,No,Yes,No
129,Peanut Butter,Peanut Butter,Breakfast,Breakfast,2 tbsp (32g),188,8.0,7.0,16.0,3.0,3.0,140,Veg,A,Moderate,Yes,Yes,Moderate
130,Chocolate Spread,Chocolate Spread,Breakfast,Breakfast,2 tbsp (37g),200,2.0,22.0,11.0,1.0,21.0,35,Veg,E,No,No,Yes,No
131,Mixed Fruit Jam,Mixed Fruit Jam,Breakfast,Breakfast,2 tbsp (40g),110,0.0,28.0,0.0,0.0,24.0,20,Veg,D,No,No,Moderate,No
132,Honey,Honey,Breakfast,Breakfast,1 tbsp (21g),64,0.0,17.0,0.0,0.0,17.0,1,Veg,B,Moderate,No,Moderate,Moderate
133,Cheese Slice,Cheese Slice,Breakfast,Breakfast,1 Slice (20g),70,4.0,1.0,6.0,0.0,0.0,180,Veg,B,Moderate,Yes,Yes,Moderate
134,Cheddar Cheese,Cheddar Cheese,Breakfast,Breakfast,30g,120,7.0,1.0,10.0,0.0,0.0,190,Veg,B,Moderate,Yes,Yes,Moderate
135,Processed Cheese,Processed Cheese,Breakfast,Breakfast,30g,110,6.0,2.0,9.0,0.0,1.0,250,Veg,C,Moderate,No,Yes,Moderate
136,Tomato Ketchup,Tomato Ketchup,Breakfast,Breakfast,1 tbsp (17g),20,0.2,5.0,0.0,0.0,4.0,160,Veg,D,No,No,Moderate,No
137,Green Chutney,Green Chutney,Breakfast,Breakfast,2 tbsp (30g),25,1.0,3.0,1.0,1.0,1.0,110,Veg,A,Yes,No,Moderate,Yes
138,Coconut Chutney,Coconut Chutney,Breakfast,Breakfast,2 tbsp (30g),80,1.0,3.0,7.0,2.0,1.0,90,Veg,B,Moderate,No,Moderate,Moderate
139,Peanut Chutney,Peanut Chutney,Breakfast,Breakfast,2 tbsp (30g),110,4.0,5.0,8.0,2.0,1.0,120,Veg,B,Moderate,Yes,Yes,Moderate
140,Mint Chutney,Mint Chutney,Breakfast,Breakfast,2 tbsp (30g),22,1.0,3.0,1.0,1.0,1.0,80,Veg,A,Yes,No,Moderate,Yes
141,Sambar,South Indian Lentil Stew,Breakfast,Breakfast,1 Bowl (150g),95,5.0,12.0,3.0,3.0,3.0,420,Veg,A,Yes,No,Moderate,Yes
142,Plain Tea,Plain Tea,Breakfast,Breakfast,1 Cup (150ml),35,1.0,6.0,1.0,0.0,5.0,25,Veg,B,Moderate,No,Moderate,Moderate
143,Masala Tea,Masala Tea,Breakfast,Breakfast,1 Cup (150ml),45,1.0,7.0,2.0,0.0,6.0,30,Veg,B,Moderate,No,Moderate,Moderate
144,Green Tea,Green Tea,Breakfast,Breakfast,1 Cup (150ml),2,0.0,0.0,0.0,0.0,0.0,5,Veg,A,Yes,Yes,Moderate,Yes
145,Black Tea,Black Tea,Breakfast,Breakfast,1 Cup (150ml),2,0.0,0.0,0.0,0.0,0.0,5,Veg,A,Yes,Yes,Moderate,Yes
146,Coffee,Coffee,Breakfast,Breakfast,1 Cup (150ml),60,2.0,8.0,2.0,0.0,6.0,40,Veg,B,Moderate,No,Moderate,Moderate
147,Black Coffee,Black Coffee,Breakfast,Breakfast,1 Cup (150ml),2,0.0,0.0,0.0,0.0,0.0,5,Veg,A,Yes,Yes,Moderate,Yes
148,Cold Coffee,Cold Coffee,Breakfast,Breakfast,1 Glass (250ml),180,6.0,24.0,7.0,0.0,20.0,80,Veg,C,Moderate,No,Yes,Moderate
149,Banana,Banana,Breakfast,Breakfast,1 Medium (118g),105,1.3,27.0,0.4,3.0,14.0,1,Veg,A,Yes,No,Yes,Yes
150,Apple,Apple,Breakfast,Breakfast,1 Medium (182g),95,0.5,25.0,0.3,4.0,19.0,2,Veg,A,Yes,No,Moderate,Yes
151,Orange,Orange,Breakfast,Breakfast,1 Medium (131g),62,1.2,15.0,0.2,3.0,12.0,0,Veg,A,Yes,No,Moderate,Yes
152,Papaya,Papaya,Breakfast,Breakfast,1 Cup (140g),60,0.7,15.0,0.4,2.5,11.0,3,Veg,A,Yes,No,Moderate,Yes
153,Watermelon,Watermelon,Breakfast,Breakfast,1 Cup (152g),46,0.9,11.0,0.2,0.6,9.0,2,Veg,A,Yes,No,Moderate,Yes
154,Pomegranate,Pomegranate,Breakfast,Breakfast,1 Cup (174g),144,3.0,33.0,2.0,7.0,24.0,5,Veg,A,Yes,No,Moderate,Yes
155,Guava,Guava,Breakfast,Breakfast,1 Medium (100g),68,2.6,14.0,1.0,5.0,9.0,2,Veg,A,Yes,Yes,Moderate,Yes
156,Muskmelon,Muskmelon,Breakfast,Breakfast,1 Cup (160g),54,1.3,13.0,0.3,1.4,13.0,3,Veg,A,Yes,No,Moderate,Yes
157,Pear,Pear,Breakfast,Breakfast,1 Medium (178g),101,0.6,27.0,0.2,6.0,17.0,2,Veg,A,Yes,No,Moderate,Yes
158,Kiwi,Kiwi,Breakfast,Breakfast,1 Medium (75g),46,0.9,11.0,0.4,2.0,7.0,3,Veg,A,Yes,No,Moderate,Yes
159,Croissant,Croissant,Breakfast,Breakfast,1 Piece (60g),230,5.0,26.0,12.0,1.0,6.0,260,Veg,D,No,No,Yes,No
160,Vegetable Puff,Vegetable Puff,Breakfast,Breakfast,1 Piece (100g),310,6.0,30.0,18.0,2.0,3.0,420,Veg,D,No,Moderate,Yes,Moderate
161,Ragi Flour,Ragi Flour,Grains,Breakfast,100g,336,7.3,72.0,1.5,11.5,1.0,11,Veg,A,Yes,Moderate,Moderate,Yes
